DATE,Unemployment Rate,Consumer Price Index,Industrial Production,Federal Funds Rate,Gross Domestic Product,Personal Consumption Expenditures,S&P 500 Index
2015-01-01,5.7,234.747,102.7923,0.11,18063.529,12066.7,
2015-02-01,5.5,235.342,102.1366,0.11,18063.529,12116.6,
2015-03-01,5.4,235.976,101.7869,0.11,18063.529,12176.1,
2015-04-01,5.4,236.222,101.2255,0.12,18279.784,12209.1,
2015-05-01,5.6,237.001,100.7675,0.12,18279.784,12275.4,2107.39
2015-06-01,5.3,237.657,100.4588,0.13,18279.784,12307.9,2063.11
2015-07-01,5.2,238.034,101.0893,0.13,18401.626,12364.9,2103.84
2015-08-01,5.1,238.033,100.9165,0.14,18401.626,12396.2,1972.18
2015-09-01,5.0,237.498,100.633,0.14,18401.626,12386.4,1920.03
2015-10-01,5.0,237.733,100.1563,0.12,18435.137,12394.9,2079.36
2015-11-01,5.1,238.017,99.4366,0.12,18435.137,12423.2,2080.41
2015-12-01,5.0,237.761,98.9471,0.24,18435.137,12452.0,2043.94
2016-01-01,4.8,237.652,99.4391,0.34,18525.933,12478.0,1940.24
2016-02-01,4.9,237.336,98.9232,0.38,18525.933,12554.5,1932.23
2016-03-01,5.0,238.08,98.1635,0.36,18525.933,12537.0,2059.74
2016-04-01,5.1,238.992,98.4775,0.37,18711.702,12611.5,2065.3
2016-05-01,4.8,239.557,98.2549,0.37,18711.702,12652.7,2096.96
2016-06-01,4.9,240.222,98.7315,0.38,18711.702,12731.2,2098.86
2016-07-01,4.8,240.101,98.8452,0.39,18892.639,12756.7,2173.6
2016-08-01,4.9,240.545,98.7427,0.4,18892.639,12788.1,2170.95
2016-09-01,5.0,241.176,98.6552,0.4,18892.639,12846.6,2168.27
2016-10-01,4.9,241.741,98.7237,0.4,19089.379,12867.0,2126.15
2016-11-01,4.7,242.026,98.3443,0.41,19089.379,12893.0,2198.81
2016-12-01,4.7,242.637,99.0406,0.54,19089.379,13005.9,2238.83
2017-01-01,4.7,243.618,98.8158,0.65,19280.084,13063.7,2278.87
2017-02-01,4.6,244.006,98.4356,0.66,19280.084,13088.4,2363.64
2017-03-01,4.4,243.892,99.0492,0.79,19280.084,13139.9,2362.72
2017-04-01,4.4,244.193,100.0416,0.9,19438.643,13169.2,2384.2
2017-05-01,4.4,244.004,100.128,0.91,19438.643,13171.9,2411.8
2017-06-01,4.3,244.163,100.337,1.04,19438.643,13225.2,2423.41
2017-07-01,4.3,244.243,100.0865,1.15,19692.595,13263.3,2470.3
2017-08-01,4.4,245.183,99.6323,1.16,19692.595,13294.6,2471.65
2017-09-01,4.3,246.435,99.7482,1.15,19692.595,13417.3,2519.36
2017-10-01,4.2,246.626,100.9893,1.15,20037.088,13447.5,2575.26
2017-11-01,4.2,247.284,101.2493,1.16,20037.088,13540.6,2647.58
2017-12-01,4.1,247.805,101.4871,1.3,20037.088,13666.1,2673.61
2018-01-01,4.0,248.859,101.4852,1.41,20328.553,13703.3,2823.81
2018-02-01,4.1,249.529,101.7319,1.42,20328.553,13738.7,2713.83
2018-03-01,4.0,249.577,102.1943,1.51,20328.553,13793.2,2640.87
2018-04-01,4.0,250.227,103.3551,1.69,20580.912,13838.4,2648.05
2018-05-01,3.8,250.792,102.381,1.7,20580.912,13905.0,2705.27
2018-06-01,4.0,251.018,103.2256,1.82,20580.912,13930.4,2718.37
2018-07-01,3.8,251.214,103.3561,1.91,20798.73,13974.8,2816.29
2018-08-01,3.8,251.663,104.0585,1.91,20798.73,14014.0,2901.52
2018-09-01,3.7,252.182,104.1038,1.95,20798.73,14017.8,2913.98
2018-10-01,3.8,252.772,103.9297,2.19,20917.867,14083.1,2711.74
2018-11-01,3.8,252.594,104.0126,2.2,20917.867,14162.9,2760.17
2018-12-01,3.9,252.767,104.0451,2.27,20917.867,14051.6,2506.85
2019-01-01,4.0,252.561,103.3598,2.4,21111.6,14084.6,2704.1
2019-02-01,3.8,253.319,102.8251,2.4,21111.6,14117.4,2784.49
2019-03-01,3.8,254.277,102.8361,2.41,21111.6,14248.6,2834.4
2019-04-01,3.7,255.233,102.2748,2.42,21397.938,14290.0,2945.83
2019-05-01,3.6,255.296,102.4176,2.39,21397.938,14353.3,2752.06
2019-06-01,3.6,255.213,102.5425,2.38,21397.938,14408.7,2941.76
2019-07-01,3.7,255.802,102.0057,2.4,21717.171,14496.0,2980.38
2019-08-01,3.6,256.036,102.7814,2.13,21717.171,14558.2,2926.46
2019-09-01,3.5,256.43,102.4601,2.04,21717.171,14590.6,2976.74
2019-10-01,3.6,257.155,101.5878,1.83,21933.217,14617.4,3037.56
2019-11-01,3.6,257.879,102.1494,1.55,21933.217,14711.0,3140.98
2019-12-01,3.6,258.63,101.9421,1.55,21933.217,14774.8,3230.78
2020-01-01,3.6,259.127,101.3372,1.55,21727.657,14844.3,3225.52
2020-02-01,3.5,259.25,101.6718,1.58,21727.657,14833.8,2954.22
2020-03-01,4.4,258.076,97.606,0.65,21727.657,13810.5,2584.59
2020-04-01,14.8,256.032,84.6812,0.05,19935.444,12234.4,2912.43
2020-05-01,13.2,255.802,86.0108,0.05,19935.444,13251.7,3044.31
2020-06-01,11.0,257.042,91.6745,0.08,19935.444,14040.8,3100.29
2020-07-01,10.2,258.352,95.0037,0.09,21684.551,14303.8,3271.12
2020-08-01,8.4,259.316,95.9294,0.1,21684.551,14454.9,3500.31
2020-09-01,7.8,259.997,95.8914,0.09,21684.551,14675.4,3363.0
2020-10-01,6.9,260.319,96.5256,0.09,22068.767,14726.0,3269.96
